crop_type,temperature,humidity,sunlight_hours,water_ph,air_quality_index,wind_speed,suitability_percentage,suitability_class
lettuce,15.31,69,6.1,6.06,29,1.05,73.09,2
lettuce,24.51,60,3.6,6.18,62,0.71,62.46,1
lettuce,37.26,49,5.5,5.84,42,0.84,57.55,1
lettuce,20.79,54,5.4,6.01,57,1.58,74.55,2
lettuce,26.04,60,4.5,5.97,55,0.79,70.99,2
lettuce,18.27,52,5.6,5.91,36,0.68,75.91,2
lettuce,25.35,56,5.9,6.18,23,1.07,69.2,1
lettuce,22.19,64,5.8,6.06,55,0.21,73.0,2
lettuce,43.02,66,4.7,6.04,47,0.91,68.53,1
lettuce,19.94,70,5.0,6.08,23,0.57,89.2,2
lettuce,13.29,65,4.0,5.93,74,1.73,58.43,1
lettuce,27.49,60,5.8,5.99,52,1.05,66.4,1
lettuce,19.99,74,5.8,6.38,26,1.59,71.8,2
lettuce,19.11,62,3.9,6.32,74,0.71,68.15,1
lettuce,19.01,64,6.3,5.69,59,0.68,69.9,1
lettuce,21.13,68,4.0,6.41,45,0.44,69.21,1
lettuce,49.73,56,6.4,6.34,83,0.71,42.78,0
lettuce,20.33,56,4.6,5.95,45,1.15,81.26,2
lettuce,21.37,62,5.6,6.21,56,1.25,74.81,2
lettuce,18.47,60,6.7,6.18,42,1.6,65.26,1
lettuce,21.28,63,5.9,6.03,41,0.98,81.59,2
lettuce,35.18,69,5.2,6.55,47,1.04,56.5,1
lettuce,20.35,70,5.5,5.98,44,1.35,81.57,2
lettuce,17.33,70,5.8,6.0,65,0.6,72.83,2
lettuce,17.71,64,3.4,6.43,43,0.95,66.74,1
lettuce,25.7,68,4.2,5.67,55,1.17,63.08,1
lettuce,31.46,69,6.5,6.34,56,0.69,48.87,1
lettuce,24.44,45,5.7,5.99,55,1.36,62.67,1
lettuce,45.42,60,4.9,5.89,71,0.97,62.13,1
lettuce,18.35,61,3.6,6.12,53,0.91,72.88,2
lettuce,20.09,56,4.3,6.35,46,1.18,73.07,2
lettuce,41.84,57,4.5,6.06,46,0.97,62.8,1
lettuce,25.04,56,4.5,5.56,47,0.58,62.37,1
lettuce,20.02,62,4.0,6.2,45,0.96,78.96,2
lettuce,18.25,69,6.6,6.04,28,1.05,75.78,2
lettuce,24.85,70,5.6,5.32,51,1.14,59.2,1
lettuce,19.3,51,3.7,6.15,67,1.16,65.52,1
lettuce,17.38,64,4.3,6.05,21,0.14,78.18,2
lettuce,20.58,57,3.8,6.03,57,0.42,71.74,2
lettuce,24.26,64,5.5,6.02,46,0.94,78.83,2
lettuce,19.21,65,7.1,6.06,61,0.47,68.47,1
lettuce,22.61,55,4.3,6.15,51,0.62,70.7,2
lettuce,26.07,67,3.8,5.73,31,1.36,63.46,1
lettuce,30.68,66,5.1,5.99,58,1.25,65.97,1
lettuce,22.05,68,6.4,6.15,23,1.31,73.65,2
lettuce,25.03,58,5.8,6.17,60,1.18,64.71,1
lettuce,25.2,59,6.7,6.0,53,1.07,63.6,1
lettuce,20.58,64,5.1,5.93,34,0.88,90.36,2
lettuce,22.72,53,5.5,6.11,47,0.55,71.86,2
lettuce,24.81,60,3.2,5.96,60,0.59,61.0,1
lettuce,16.51,65,5.3,6.1,46,1.05,79.85,2
lettuce,20.54,67,5.1,6.14,23,0.9,90.54,2
lettuce,20.35,66,5.0,5.8,47,1.31,83.55,2
lettuce,19.64,65,4.4,6.13,17,0.89,89.26,2
lettuce,21.16,64,4.3,5.85,72,0.16,70.76,2
lettuce,19.51,66,5.2,6.24,65,0.75,80.14,2
lettuce,19.83,50,6.5,5.65,61,1.29,60.49,1
lettuce,10.67,55,4.7,5.68,56,1.41,54.11,1
lettuce,19.64,56,5.3,6.15,47,0.17,75.61,2
lettuce,17.51,76,6.5,5.81,63,0.98,63.3,1
lettuce,19.89,52,5.8,6.66,74,0.8,60.91,1
lettuce,24.62,68,4.7,6.0,45,1.32,76.01,2
lettuce,17.92,58,4.3,5.95,56,0.73,75.34,2
lettuce,15.89,63,5.4,6.24,40,0.59,73.73,2
lettuce,25.44,67,4.5,6.1,59,0.76,71.37,2
lettuce,24.17,60,5.6,6.04,29,1.23,76.28,2
lettuce,12.1,65,5.5,6.36,44,1.25,63.0,1
lettuce,18.71,67,5.6,6.01,28,0.38,82.72,2
lettuce,8.51,60,4.3,6.13,63,1.2,56.65,1
lettuce,12.31,65,6.4,5.88,53,1.35,59.14,1
lettuce,19.5,70,5.7,5.85,53,0.99,78.67,2
lettuce,11.14,64,5.5,6.08,66,0.68,63.6,1
lettuce,20.91,61,4.3,5.82,37,1.01,80.25,2
lettuce,19.49,64,5.2,6.15,37,0.7,86.15,2
lettuce,27.71,61,4.6,5.88,49,1.0,68.18,1
lettuce,20.15,73,4.1,6.19,42,0.37,73.73,2
lettuce,13.89,67,5.2,5.97,63,0.34,69.51,1
lettuce,12.48,62,6.1,5.6,51,1.1,57.04,1
lettuce,17.66,62,4.6,6.13,32,1.35,79.14,2
lettuce,19.93,61,5.2,6.3,34,0.83,84.11,2
lettuce,18.51,66,4.4,5.88,58,0.99,79.2,2
lettuce,18.98,62,3.8,6.74,51,1.05,62.91,1
lettuce,20.2,66,4.8,5.95,33,0.48,87.6,2
lettuce,19.75,58,4.7,6.2,56,0.85,80.0,2
lettuce,23.78,55,4.6,5.79,52,0.24,66.07,1
lettuce,21.51,58,4.2,6.44,63,0.22,62.51,1
lettuce,23.27,62,5.3,6.04,47,0.64,78.91,2
lettuce,12.49,67,4.6,6.0,55,0.57,69.06,1
lettuce,18.85,71,5.1,5.6,36,0.89,79.87,2
lettuce,19.89,58,3.5,6.02,69,0.44,69.3,1
lettuce,28.28,57,6.1,5.97,41,0.6,61.26,1
lettuce,25.08,60,5.7,5.89,30,0.99,74.14,2
lettuce,19.08,57,4.3,6.15,35,0.94,79.74,2
lettuce,24.34,64,6.4,5.74,42,0.91,68.04,1
lettuce,47.8,63,4.9,6.26,41,1.11,64.47,1
lettuce,21.15,54,5.4,5.66,53,0.54,70.57,2
lettuce,11.78,57,4.6,5.74,54,0.84,61.86,1
lettuce,24.89,62,5.0,5.92,66,0.89,76.04,2
lettuce,18.79,65,5.4,5.91,65,0.49,78.53,2
lettuce,14.05,67,4.1,5.97,42,0.46,69.08,1
lettuce,19.36,58,6.5,6.18,51,1.11,70.12,2
lettuce,22.57,63,4.5,5.63,24,0.8,77.88,2
lettuce,19.75,68,4.6,6.61,41,0.65,73.88,2
lettuce,19.34,56,4.4,5.98,33,1.01,82.86,2
lettuce,24.71,68,4.9,6.02,42,1.08,79.43,2
lettuce,19.91,64,3.6,6.07,55,0.25,72.84,2
lettuce,25.83,60,5.1,5.61,65,1.24,63.62,1
lettuce,17.33,69,5.6,6.4,28,0.97,74.91,2
lettuce,10.12,65,5.0,5.91,28,0.78,72.77,2
lettuce,20.45,59,4.4,6.22,46,0.74,78.2,2
lettuce,19.2,61,6.0,6.16,53,1.16,74.7,2
lettuce,17.99,67,5.3,6.21,59,1.07,77.28,2
lettuce,18.9,63,4.1,6.31,54,1.0,74.02,2
lettuce,24.73,59,4.2,5.81,53,0.49,65.49,1
lettuce,22.18,61,4.9,5.74,50,0.42,75.36,2
lettuce,13.04,72,5.4,5.81,47,1.18,65.61,1
lettuce,19.91,66,3.3,6.03,25,1.14,79.8,2
lettuce,18.47,68,4.4,5.69,45,0.61,74.82,2
lettuce,16.08,77,4.8,6.01,29,1.06,78.29,2
lettuce,19.6,71,5.2,6.03,53,0.73,83.85,2
lettuce,21.53,75,6.0,5.88,22,0.91,78.29,2
lettuce,18.57,57,4.7,6.29,17,0.29,77.17,2
lettuce,23.02,64,6.0,5.93,48,1.29,73.31,2
lettuce,22.39,61,4.5,6.06,37,0.84,81.6,2
lettuce,18.31,61,4.8,6.43,48,0.76,75.35,2
lettuce,19.49,58,6.6,6.36,18,0.55,70.36,2
lettuce,23.11,65,4.5,5.94,80,1.36,71.66,2
lettuce,21.26,60,5.8,5.78,42,1.57,72.0,2
lettuce,12.6,61,6.0,5.91,44,1.1,64.9,1
lettuce,22.15,63,5.1,5.83,51,1.15,79.97,2
lettuce,19.5,66,5.4,5.46,47,0.82,76.2,2
lettuce,7.31,77,5.3,6.3,57,1.07,54.83,1
lettuce,20.25,58,5.4,5.64,21,1.04,81.13,2
lettuce,20.47,52,6.1,5.54,64,0.76,63.28,1
lettuce,17.55,67,4.7,5.88,51,0.93,80.7,2
lettuce,19.53,67,4.9,6.07,46,0.57,85.49,2
lettuce,43.15,60,3.9,5.57,44,0.8,52.48,1
lettuce,18.64,63,5.5,6.25,41,0.73,79.28,2
lettuce,21.45,63,5.6,6.3,46,1.05,76.68,2
lettuce,19.91,69,4.9,6.47,48,1.06,78.34,2
lettuce,20.77,57,4.9,5.78,58,1.18,77.31,2
lettuce,22.81,69,5.4,6.2,37,0.93,78.96,2
lettuce,20.76,71,6.1,6.01,43,0.91,79.78,2
lettuce,39.99,61,4.6,5.75,40,1.21,60.75,1
lettuce,10.22,64,4.0,5.8,49,0.5,56.94,1
lettuce,20.46,69,5.0,6.26,44,1.11,82.8,2
lettuce,29.85,66,5.5,5.89,57,1.52,59.18,1
lettuce,15.61,64,3.9,6.04,44,0.81,73.59,2
lettuce,17.85,56,5.4,5.88,45,0.65,76.22,2
lettuce,15.65,68,4.8,6.04,19,0.31,79.42,2
lettuce,19.75,64,4.4,5.94,55,0.76,82.97,2
lettuce,36.68,63,5.4,5.68,42,0.55,59.68,1
lettuce,30.47,62,4.8,5.34,48,1.02,54.8,1
lettuce,22.52,67,6.0,6.04,56,0.55,73.41,2
lettuce,32.11,59,5.6,6.14,38,0.45,59.62,1
lettuce,19.23,61,3.8,5.72,55,1.1,71.03,2
lettuce,20.25,70,4.6,6.22,56,1.57,74.68,2
lettuce,21.49,65,4.4,5.87,34,0.88,84.09,2
lettuce,13.87,71,5.4,5.81,58,0.61,65.86,1
lettuce,13.95,70,3.9,6.17,31,0.75,67.33,1
lettuce,21.65,65,4.1,5.89,49,1.02,78.58,2
lettuce,20.49,70,5.5,5.95,70,0.84,79.6,2
lettuce,34.42,63,4.6,6.27,45,0.91,63.02,1
lettuce,19.49,64,4.8,5.95,43,0.93,88.56,2
lettuce,49.69,58,5.6,5.9,68,1.08,57.17,1
lettuce,22.1,63,5.1,6.52,41,1.1,75.15,2
lettuce,16.2,65,5.5,6.23,33,1.01,77.63,2
lettuce,24.18,56,5.1,5.97,51,0.9,77.29,2
lettuce,27.37,68,5.3,5.92,53,0.87,70.83,2
lettuce,29.5,59,4.9,5.91,42,0.92,68.28,1
lettuce,44.55,59,5.0,6.44,44,1.41,56.62,1
lettuce,25.77,60,4.8,6.45,39,1.39,64.88,1
lettuce,21.1,58,5.0,6.4,35,1.66,74.13,2
lettuce,48.45,58,5.5,5.95,71,0.72,58.42,1
lettuce,18.93,59,3.5,6.0,40,0.98,76.28,2
lettuce,24.72,59,4.9,5.7,39,1.14,72.31,2
lettuce,13.44,61,4.9,6.02,68,0.57,69.65,1
lettuce,20.32,61,3.7,5.71,38,0.78,74.48,2
lettuce,15.08,71,5.4,5.82,44,0.94,72.89,2
lettuce,18.74,70,4.5,6.12,35,0.42,79.0,2
lettuce,22.94,77,5.1,6.02,60,0.58,74.3,2
lettuce,9.42,72,4.9,5.96,37,1.02,67.78,1
lettuce,18.28,55,5.9,5.82,43,0.78,73.04,2
lettuce,20.73,71,4.4,6.06,26,0.86,85.17,2
lettuce,19.67,57,4.4,6.28,41,0.75,77.16,2
lettuce,12.17,63,3.8,5.97,74,0.61,58.99,1
lettuce,20.44,62,4.8,5.98,40,0.26,83.72,2
lettuce,7.07,57,4.9,5.92,28,1.04,67.82,1
lettuce,41.83,60,5.4,6.53,38,1.32,54.07,1
lettuce,21.84,71,7.4,6.12,16,1.02,72.25,2
lettuce,23.02,55,4.5,5.64,42,1.16,68.84,1
lettuce,20.58,67,6.2,5.85,45,0.83,77.76,2
lettuce,22.28,67,6.4,5.93,42,1.26,72.54,2
lettuce,7.86,61,5.1,5.97,45,0.82,68.48,1
lettuce,14.74,79,6.2,5.88,27,1.25,63.66,1
lettuce,35.66,47,6.1,5.87,45,1.09,51.07,1
lettuce,15.98,62,4.4,5.91,39,0.95,77.24,2
lettuce,15.09,65,5.6,5.85,48,1.26,71.68,2
lettuce,22.93,65,4.6,6.5,50,0.34,68.14,1
lettuce,16.69,74,5.2,5.99,51,1.35,74.93,2
lettuce,25.16,56,4.3,6.05,40,0.68,70.43,2
lettuce,19.62,61,5.1,5.89,52,0.75,84.37,2
lettuce,19.71,59,4.8,5.84,47,0.8,83.05,2
lettuce,38.51,57,4.7,6.32,81,0.34,49.18,1
lettuce,19.34,55,6.3,5.96,34,0.22,71.8,2
lettuce,39.96,57,6.1,6.3,43,1.19,52.17,1
lettuce,20.65,56,5.5,6.37,48,0.75,73.8,2
lettuce,18.19,58,3.5,5.91,45,1.13,70.41,2
lettuce,48.68,54,6.3,6.64,57,1.15,40.37,0
lettuce,18.9,76,4.9,6.09,37,1.4,79.42,2
lettuce,21.89,70,5.7,5.91,45,0.15,72.92,2
lettuce,18.3,65,5.2,6.17,32,1.46,81.7,2
lettuce,13.58,64,6.7,5.74,64,0.98,57.38,1
lettuce,19.66,66,6.4,5.63,28,0.79,75.34,2
lettuce,18.85,68,5.1,6.18,44,0.85,84.1,2
lettuce,11.32,75,4.4,6.0,61,0.61,60.56,1
lettuce,21.83,54,4.3,6.14,50,0.84,73.96,2
lettuce,20.15,72,4.4,6.03,68,1.49,74.85,2
lettuce,39.9,63,4.2,5.9,94,0.51,52.08,1
lettuce,18.84,70,5.4,5.99,51,1.03,82.4,2
lettuce,19.75,62,4.9,6.08,51,1.25,84.23,2
lettuce,19.95,65,6.6,6.06,45,1.14,77.2,2
lettuce,19.77,70,5.4,5.71,41,1.16,79.24,2
lettuce,20.28,66,3.9,6.3,49,0.53,73.44,2
lettuce,31.41,54,6.1,5.84,56,0.88,53.55,1
lettuce,20.02,61,4.4,5.74,38,0.74,80.59,2
lettuce,21.66,68,4.8,6.17,38,0.86,83.61,2
lettuce,20.03,61,4.4,5.92,51,0.28,78.17,2
lettuce,21.7,60,5.5,5.55,48,0.98,72.68,2
lettuce,16.45,70,3.9,6.29,67,1.33,61.6,1
lettuce,43.03,59,4.3,5.96,73,1.13,56.87,1
lettuce,17.55,58,5.2,5.59,47,0.51,70.82,2
lettuce,24.67,64,4.9,6.55,33,1.27,69.83,1
lettuce,17.69,61,4.8,6.19,57,1.16,76.41,2
lettuce,18.39,67,6.2,6.22,53,0.64,71.38,2
lettuce,7.22,69,5.5,6.02,27,0.88,69.18,1
lettuce,16.43,58,5.1,5.8,44,0.65,75.19,2
lettuce,18.86,67,6.2,5.81,31,1.05,77.5,2
lettuce,25.04,72,5.1,5.73,63,0.89,69.69,1
lettuce,16.71,60,4.3,5.8,60,0.99,70.92,2
lettuce,14.43,74,6.3,5.64,56,1.14,56.08,1
lettuce,11.83,58,4.1,5.34,43,1.14,51.04,1
lettuce,20.33,71,6.2,5.68,39,0.8,73.61,2
lettuce,18.7,71,4.8,5.91,34,1.03,84.35,2
lettuce,18.07,66,5.0,5.88,58,1.38,79.57,2
lettuce,20.35,61,4.9,6.39,59,1.4,74.75,2
lettuce,19.73,52,2.1,6.18,47,1.05,65.28,1
lettuce,25.55,59,7.0,5.84,76,1.08,53.53,1
lettuce,19.41,60,5.2,5.81,54,0.56,79.19,2
lettuce,42.76,59,4.7,5.87,31,0.64,64.82,1
lettuce,18.32,54,5.0,5.64,69,1.05,71.19,2
lettuce,34.89,59,5.0,5.89,46,1.31,63.72,1
lettuce,21.83,65,7.3,6.13,34,1.15,70.99,2
lettuce,16.7,58,5.6,6.33,56,0.84,68.97,1
lettuce,18.92,72,5.0,5.98,55,0.58,82.11,2
lettuce,16.06,55,5.1,5.81,56,0.74,71.9,2
lettuce,46.64,62,5.7,6.13,80,1.32,53.82,1
lettuce,20.23,63,5.1,6.14,34,0.61,86.91,2
lettuce,48.68,47,3.2,6.18,27,1.21,46.82,1
lettuce,19.15,74,5.9,6.2,54,0.68,72.22,2
basil,31.27,57,8.6,6.36,25,1.45,64.37,1
basil,19.69,65,7.0,5.1,34,0.9,62.77,1
basil,16.53,65,7.3,6.09,43,1.37,68.23,1
basil,26.35,53,8.6,5.83,54,0.84,65.0,1
basil,26.91,66,6.7,6.32,58,1.02,77.13,2
basil,37.31,61,8.0,6.07,53,0.79,60.25,1
basil,24.8,57,6.9,5.79,69,0.63,77.39,2
basil,47.79,59,8.0,6.5,89,1.37,51.38,1
basil,14.49,66,6.8,6.1,58,0.97,63.25,1
basil,31.06,59,7.3,5.96,65,1.04,71.31,2
basil,24.81,71,5.7,6.53,52,1.24,67.24,1
basil,40.25,41,7.2,6.5,67,1.21,48.2,1
basil,6.05,63,6.8,6.41,100,1.37,55.57,1
basil,26.63,66,6.7,5.98,65,1.23,76.9,2
basil,23.13,58,7.7,5.94,38,1.19,80.2,2
basil,32.66,60,5.9,6.11,40,1.57,67.19,1
basil,30.69,55,7.4,6.32,53,1.25,70.51,2
basil,27.39,50,6.5,6.17,57,1.61,72.19,2
basil,49.56,46,6.5,5.68,58,1.08,49.18,1
basil,24.12,59,6.1,5.79,38,0.94,78.12,2
basil,22.3,71,7.0,5.99,46,1.31,75.87,2
basil,28.51,67,7.7,5.96,31,1.11,74.55,2
basil,29.03,57,7.8,5.92,38,0.98,73.31,2
basil,22.17,63,7.5,5.95,36,1.19,79.49,2
basil,21.67,60,8.0,6.03,77,0.68,69.38,1
basil,25.4,53,7.6,6.31,55,0.53,74.88,2
basil,25.81,67,7.3,6.14,45,1.34,82.69,2
basil,23.9,70,7.9,6.08,39,1.74,73.0,2
basil,25.06,58,7.0,6.62,51,1.73,79.89,2
basil,36.1,54,7.0,6.35,57,0.93,62.36,1
basil,43.94,56,8.2,6.19,67,1.16,57.02,1
basil,32.72,55,7.6,5.93,63,1.43,61.59,1
basil,26.27,54,6.6,6.46,58,0.67,73.44,2
basil,24.35,62,7.7,6.49,48,1.04,78.69,2
basil,37.85,59,7.0,5.97,51,1.25,68.05,1
basil,19.09,62,6.6,6.31,45,1.37,73.0,2
basil,23.71,57,7.9,6.29,34,1.54,78.74,2
basil,24.82,63,5.3,6.17,48,0.7,74.3,2
basil,44.94,58,6.8,6.51,39,1.41,63.93,1
basil,44.33,54,6.5,6.22,49,0.62,60.02,1
basil,29.92,59,7.6,5.69,26,1.03,73.13,2
basil,24.27,62,7.1,5.81,43,1.25,83.86,2
basil,23.2,71,7.0,6.67,35,1.21,74.41,2
basil,24.77,57,6.6,6.41,38,1.12,84.27,2
basil,43.08,48,6.7,5.84,63,1.21,53.94,1
basil,18.27,59,7.9,6.35,42,0.66,66.62,1
basil,25.87,53,6.1,6.62,46,1.35,70.78,2
basil,17.48,70,5.9,6.2,58,0.85,57.75,1
basil,31.15,65,6.5,5.96,30,1.29,71.84,2
basil,26.76,58,5.8,5.91,31,0.2,71.93,2
basil,18.18,58,6.3,6.27,58,0.73,66.37,1
basil,25.07,69,6.7,5.94,62,1.25,77.5,2
basil,27.42,62,7.3,6.26,47,1.03,81.78,2
basil,23.91,52,5.7,6.23,3,0.84,78.55,2
basil,16.66,66,7.0,6.15,77,1.3,66.09,1
basil,23.34,56,7.6,6.37,49,1.56,75.85,2
basil,18.76,62,5.7,6.71,74,1.98,51.39,1
basil,26.75,50,6.1,6.09,39,0.55,71.8,2
basil,29.48,60,6.0,6.07,46,1.14,75.17,2
basil,35.61,52,7.7,6.39,32,0.94,58.9,1
basil,23.71,61,7.3,6.1,43,0.78,84.86,2
basil,26.86,65,8.4,5.81,30,1.45,70.42,2
basil,26.53,66,6.6,6.25,52,0.56,76.43,2
basil,24.21,66,5.9,6.38,46,0.74,72.64,2
basil,26.76,67,7.5,6.23,37,1.24,80.03,2
basil,29.53,66,6.8,6.13,49,1.51,74.98,2
basil,24.23,67,7.8,6.32,62,1.22,74.64,2
basil,23.16,55,7.7,6.37,26,0.83,78.05,2
basil,36.92,54,7.3,5.97,52,1.37,61.19,1
basil,25.58,56,7.9,6.26,34,1.24,81.64,2
basil,31.53,68,7.2,6.47,35,1.43,67.49,1
basil,22.64,61,7.0,6.45,26,1.0,85.03,2
basil,27.64,55,6.9,5.89,45,1.22,78.89,2
basil,39.46,56,7.3,6.52,57,1.18,60.11,1
basil,26.57,47,6.3,6.49,42,1.43,68.52,1
basil,24.32,76,7.6,6.72,37,1.82,63.74,1
basil,28.62,60,7.5,6.33,58,1.49,75.32,2
basil,28.48,55,6.8,6.08,68,1.58,73.72,2
basil,18.92,69,7.1,6.4,72,0.92,64.06,1
basil,26.85,54,7.8,6.15,67,1.4,74.02,2
basil,24.0,56,8.5,6.32,65,1.14,71.08,2
basil,32.11,59,6.9,6.48,49,1.11,71.43,2
basil,36.64,51,6.8,6.65,55,1.2,55.3,1
basil,21.8,55,7.5,6.28,63,1.05,73.82,2
basil,36.77,56,6.1,6.07,31,1.24,63.72,1
basil,26.16,69,7.9,6.42,55,1.08,71.15,2
basil,25.7,64,4.7,6.42,48,0.83,67.18,1
basil,22.91,61,6.1,6.16,34,1.46,81.11,2
basil,7.8,61,8.3,6.2,79,1.14,56.52,1
basil,27.87,68,6.7,5.67,27,0.99,73.53,2
basil,28.81,66,7.0,5.81,42,1.31,75.25,2
basil,27.91,62,6.9,5.94,48,1.22,80.9,2
basil,25.07,58,6.7,6.03,45,0.63,84.28,2
basil,8.44,68,7.2,6.19,49,0.66,61.46,1
basil,26.26,55,6.2,6.47,46,1.54,73.44,2
basil,42.54,50,8.3,5.75,71,1.55,43.32,0
basil,49.86,54,6.7,6.16,44,1.3,65.44,1
basil,25.48,49,6.8,6.26,24,1.1,83.61,2
basil,24.09,66,7.1,6.07,60,1.02,81.7,2
basil,32.94,52,7.8,6.55,84,0.88,51.45,1
basil,23.41,59,7.0,6.28,49,1.21,86.18,2
basil,23.79,62,7.5,6.35,32,0.5,80.51,2
basil,15.62,68,7.5,6.56,59,1.39,54.69,1
basil,23.5,61,7.4,6.09,29,1.53,85.63,2
basil,26.37,61,6.1,5.96,28,0.87,80.88,2
basil,16.86,54,6.8,6.05,53,0.97,66.97,1
basil,20.74,65,5.7,6.35,49,0.95,66.19,1
basil,25.12,48,6.4,6.18,28,1.39,80.08,2
basil,24.11,65,6.2,6.15,22,0.49,81.2,2
basil,23.13,60,6.2,6.22,44,1.82,78.47,2
basil,19.15,62,7.4,6.08,27,1.17,78.45,2
basil,26.84,62,5.7,6.29,66,1.64,69.88,1
basil,22.97,54,6.2,6.16,21,0.77,79.82,2
basil,22.6,69,7.9,6.45,50,1.24,68.86,1
basil,25.08,62,5.9,5.84,38,1.32,78.47,2
basil,25.92,51,6.2,6.07,33,0.96,77.98,2
basil,16.65,78,7.1,6.26,49,0.58,56.47,1
basil,28.44,53,7.2,6.0,63,1.2,74.08,2
basil,7.43,68,6.0,6.65,45,1.27,51.18,1
basil,29.87,59,7.2,6.37,83,1.36,70.62,2
basil,21.46,61,7.7,6.11,55,0.95,76.67,2
basil,28.64,46,6.6,6.23,25,1.29,73.32,2
basil,32.07,58,6.8,6.37,65,0.6,66.24,1
basil,22.06,59,5.9,5.98,62,1.66,69.97,1
basil,25.81,65,7.9,6.15,59,0.83,76.92,2
basil,44.49,54,8.0,5.86,53,0.4,50.97,1
basil,26.25,47,6.3,6.17,40,1.11,75.8,2
basil,18.01,57,7.0,5.91,26,0.54,72.49,2
basil,15.28,74,7.0,6.12,44,1.74,59.36,1
basil,19.24,76,7.5,5.8,73,0.86,54.41,1
basil,21.17,48,7.8,6.15,60,0.64,65.11,1
basil,25.81,61,7.7,6.18,38,0.95,84.9,2
basil,43.1,74,7.2,5.71,75,1.27,48.99,1
basil,24.55,65,6.2,6.15,19,1.23,85.96,2
basil,24.8,59,6.3,6.23,51,0.2,78.93,2
basil,20.57,55,6.9,5.86,49,0.79,72.52,2
basil,28.99,57,7.7,6.05,49,0.71,72.85,2
basil,25.98,48,7.2,6.25,67,1.68,72.58,2
basil,25.83,69,6.9,6.03,49,0.77,79.22,2
basil,25.16,54,7.1,6.51,39,1.06,82.36,2
basil,29.05,62,7.5,5.84,63,0.39,67.72,1
basil,29.18,60,5.3,6.58,53,0.75,61.77,1
basil,22.59,69,7.1,5.85,61,0.84,71.86,2
basil,14.71,49,7.1,6.35,55,1.42,57.87,1
basil,31.64,49,7.5,6.54,42,1.33,61.2,1
basil,24.09,66,5.1,6.34,69,1.3,65.01,1
basil,26.22,61,5.5,6.5,49,1.26,71.99,2
basil,27.2,57,6.5,6.27,64,0.91,76.5,2
basil,27.29,51,7.2,6.52,60,1.54,69.95,1
basil,24.02,55,7.1,6.49,39,1.23,81.84,2
basil,23.7,62,5.8,6.15,83,1.02,73.37,2
basil,23.12,60,7.6,5.96,58,1.06,79.36,2
basil,32.14,66,6.8,6.05,52,1.25,69.59,1
basil,23.87,60,7.4,6.31,34,1.13,86.93,2
basil,14.74,53,5.8,6.47,48,1.45,51.68,1
basil,22.93,55,7.4,5.91,65,0.74,73.01,2
basil,25.32,56,8.0,6.61,59,1.27,72.0,2
basil,47.18,52,7.2,6.48,29,1.1,62.67,1
